url,location,floor,floors_count,rooms_count,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground
https://www.cian.ru/sale/flat/309127449/,Москва,9,9,1,8099436,2025,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","25,4 м²","4,3 м²",,,к30,Рассказовка
https://www.cian.ru/sale/flat/308966511/,Москва,2,9,1,8105789,2025,"Монолитно-кирпичный, монолитный","Без отделки, чистовая",11 м²,"21,3 м²",,,к25,Рассказовка
https://www.cian.ru/sale/flat/308920673/,Москва,8,23,1,8188091,2025,Монолитно-кирпичный,"Без отделки, чистовая","12,4 м²","12,1 м²",,,к2.3,Румянцево
https://www.cian.ru/sale/flat/308655570/,Москва,2,23,1,8150776,2025,Монолитно-кирпичный,"Без отделки, чистовая","9,7 м²","16,4 м²",,,к2.3,Румянцево
https://www.cian.ru/sale/flat/308650464/,Москва,11,17,1,8231415,2025,Монолитно-кирпичный,"Без отделки, чистовая","10,5 м²","19,3 м²",,,к2,Филатов Луг
https://www.cian.ru/sale/flat/309008620/,Москва,3,23,1,8263480,2026,Монолитно-кирпичный,"Без отделки, предчистовая, чистовая","13,1 м²","13,7 м²",,,,Филатов Луг
https://www.cian.ru/sale/flat/308655501/,Москва,16,16,1,8254881,2024,Монолитно-кирпичный,"Без отделки, чистовая","10,4 м²","11,3 м²",,,к3,Филатов Луг
https://www.cian.ru/sale/flat/308655358/,Москва,2,16,1,8275112,2024,Монолитно-кирпичный,"Без отделки, чистовая","10,5 м²","11,3 м²",,,4-5,Филатов Луг
https://www.cian.ru/sale/flat/308912492/,Москва,5,17,1,8298600,2025,Монолитно-кирпичный,"Без отделки, чистовая","10,3 м²","21,3 м²",,,к1,Филатов Луг
https://www.cian.ru/sale/flat/308966884/,Москва,3,15,1,8298207,2024,Монолитно-кирпичный,"Без отделки, чистовая","10,5 м²","19,2 м²",,,к11,Щербинка
https://www.cian.ru/sale/flat/296956787/,Москва,2,2,1,8300000,1900,,,"8,1 м²",2 м²,Басманный,Гороховский переулок,6/1С2,Курская
https://www.cian.ru/sale/flat/306483842/,Москва,6,28,1,8318291,2027,Панельный,Чистовая,"9,2 м²",14 м²,Крюково,Зеленоград,6.5,Зеленоград — Крюково
https://www.cian.ru/sale/flat/308650350/,Москва,6,17,1,8318880,2025,,Без отделки,"10,3 м²","21,3 м²",,,к1,Филатов Луг
https://www.cian.ru/sale/flat/297367278/,Москва,1,8,1,8379000,2024,Монолитный,Чистовая,"10,7 м²","15,7 м²",Бибирево, Корнейчука,27,Алтуфьево
https://www.cian.ru/sale/flat/306987423/,Москва,17,17,1,8522618,2024,Монолитный,Чистовая,"17,3 м²","10,5 м²",,,,Щербинка
https://www.cian.ru/sale/flat/306979483/,Москва,6,14,1,8509643,2026,Панельный,"Предчистовая, чистовая","11,4 м²","14,8 м²",Тимирязевский,к3.5,к3.5,Окружная
https://www.cian.ru/sale/flat/306747315/,Москва,5,9,1,8541613,2025,,Без отделки,"13,4 м²","9,2 м²",,,9.1,Бунинская аллея
https://www.cian.ru/sale/flat/306987593/,Москва,11,17,1,8631143,2024,Монолитный,Чистовая,"10,6 м²","18,1 м²",,,1.2,Щербинка
https://www.cian.ru/sale/flat/308968616/,Москва,3,11,1,8645810,2026,"Панельный, монолитный",Чистовая,"9,5 м²","17,1 м²",Южное Бутово,,,Щербинка
https://www.cian.ru/sale/flat/308966838/,Москва,3,10,1,8645092,2024,Монолитно-кирпичный,"Без отделки, чистовая","10,6 м²","20,9 м²",,,к13,Щербинка
https://www.cian.ru/sale/flat/306483820/,Москва,2,28,1,8696764,2027,Панельный,Чистовая,"9,1 м²","16,6 м²",Крюково,Зеленоград,6.5,Зеленоград — Крюково
https://www.cian.ru/sale/flat/306747832/,Москва,7,9,1,8738248,2024,,Без отделки,"12,3 м²",12 м²,,,к1.2,Бунинская аллея
https://www.cian.ru/sale/flat/308912485/,Москва,5,12,1,8740367,2025,Монолитно-кирпичный,"Без отделки, чистовая",11 м²,"21,4 м²",,,к1,Филатов Луг
https://www.cian.ru/sale/flat/306745213/,Москва,4,9,1,8822521,2026,Монолитно-кирпичный,"Без отделки, чистовая","13,9 м²","11,2 м²",,,1.2,Толстопальцево
